LSE/AUG,"AUGEAN share price (AUG), Currency GBX"
LSE/AUK,"AUKETT SWANKE share price (AUK), Currency GBX"
LSE/AUE,"AVESORO RES. share price (AUE), Currency GBX"
LSE/AUR,"SHEARWATER share price (SWG), Currency GBX"
LSE/AVCT,"AVACTA share price (AVCT), Currency GBX"
LSE/AVA,"AVANTI CAP. share price (AVA), Currency GBX"
LSE/AVN,"AVANTI COMM. share price (AVN), Currency GBX"
LSE/AVAP,"AVATION share price (AVAP), Currency GBX"
LSE/AVS,"AVESCO GROUP share price (AVS), Currency GBX"
LSE/AVV,"AVEVA GRP share price (AVV), Currency GBX"
LSE/AVG,"AVINGTRANS share price (AVG), Currency GBX"
LSE/AVM,"AVOCET MINING share price (AVM), Currency GBX"
LSE/AVON,"AVON RBR. share price (AVON), Currency GBX"
LSE/AZEM,Az Electronic Materials S.a. (AZEM)
LSE/AZO,AZONTO PETROLEUM LTD (AZO)
LSE/BPM,"B.P MARSH share price (BPM), Currency GBX"
LSE/BAB,"BABCOCK INTL share price (BAB), Currency GBX"
LSE/BLEY,"BAILEY(C.H) share price (BLEY), Currency GBX"
LSE/BBY,"BALFOUR B. share price (BBY), Currency GBX"
LSE/BGO,"BANGO share price (BGO), Currency GBX"
LSE/BGEO,"BGEO GRP share price (BGEO), Currency GBX"
LSE/BAO,Baobab Resources Plc (BAO)
LSE/BARC,"BARCLAYS share price (BARC), Currency GBX"
LSE/BOIL,"BARON OIL share price (BOIL), Currency GBX"
LSE/BAG,"BARR (A.G.) share price (BAG), Currency GBX"
LSE/BDEV,"BARRATT DEVEL. share price (BDEV), Currency GBX"
LSE/BSE,"BASE RES share price (BSE), Currency GBX"
LSE/BVC,"BATM ADVANCED share price (BVC), Currency GBX"
LSE/BBA,"BBA AVIATION share price (BBA), Currency GBX"
LSE/BCB,BCB HLDGS share price (BCB) (BCB)
LSE/BHR,Beacon Hill Resources Plc (BHR)
LSE/BAE,Beale Plc (BAE)
LSE/BEG,"BEGBIES share price (BEG), Currency GBX"
LSE/BVM,"BELGRAVIUM TECH share price (BVM), Currency GBX"
LSE/BWY,"BELLWAY share price (BWY), Currency GBX"
