BP/GAS_RESERVES_TASP,Proved Natural Gas Reserves - Total Asia Pacific
BP/HYDRO_CONSUM_USA,Hydroelectric Consumption - USA
BP/GAS_RESERVES_WRLD,Proved Natural Gas Reserves - Total World
BP/HYDRO_CONSUM_CAN,Hydroelectric Consumption - Canada
BP/HYDRO_CONSUM_NOAM,Hydroelectric Consumption - Total North America
BP/HYDRO_CONSUM_MEX,Hydroelectric Consumption - Mexico
BP/HYDRO_CONSUM_ARG,Hydroelectric Consumption - Argentina
BP/HYDRO_CONSUM_BRA,Hydroelectric Consumption - Brazil
BP/HYDRO_CONSUM_CHL,Hydroelectric Consumption - Chile
BP/HYDRO_CONSUM_COL,Hydroelectric Consumption - Colombia
BP/HYDRO_CONSUM_ECU,Hydroelectric Consumption - Ecuador
BP/HYDRO_CONSUM_PER,Hydroelectric Consumption - Peru
BP/HYDRO_CONSUM_TTO,Hydroelectric Consumption - Trinidad & Tobago
BP/HYDRO_CONSUM_VEN,Hydroelectric Consumption - Venezuela
BP/HYDRO_CONSUM_OSCA,Hydroelectric Consumption - Other S. & Cent. America
BP/HYDRO_CONSUM_CESA,Hydroelectric Consumption - Total S. & Cent. America
BP/HYDRO_CONSUM_BLR,Hydroelectric Consumption - Belarus
BP/HYDRO_CONSUM_AUT,Hydroelectric Consumption - Austria
BP/HYDRO_CONSUM_AZE,Hydroelectric Consumption - Azerbaijan
BP/HYDRO_CONSUM_BEL,Hydroelectric Consumption - Belgium
BP/HYDRO_CONSUM_BGR,Hydroelectric Consumption - Bulgaria
BP/HYDRO_CONSUM_CZE,Hydroelectric Consumption - Czech Republic
BP/HYDRO_CONSUM_DNK,Hydroelectric Consumption - Denmark
BP/HYDRO_CONSUM_FIN,Hydroelectric Consumption - Finland
BP/HYDRO_CONSUM_FRA,Hydroelectric Consumption - France
BP/HYDRO_CONSUM_DEU,Hydroelectric Consumption - Germany
BP/HYDRO_CONSUM_IRL,Hydroelectric Consumption - Ireland
BP/HYDRO_CONSUM_HUN,Hydroelectric Consumption - Hungary
BP/HYDRO_CONSUM_GRC,Hydroelectric Consumption - Greece
BP/HYDRO_CONSUM_ITA,Hydroelectric Consumption - Italy
BP/HYDRO_CONSUM_KAZ,Hydroelectric Consumption - Kazakhstan
BP/HYDRO_CONSUM_NLD,Hydroelectric Consumption - Netherlands
BP/HYDRO_CONSUM_LTU,Hydroelectric Consumption - Lithuania
BP/HYDRO_CONSUM_NOR,Hydroelectric Consumption - Norway
BP/HYDRO_CONSUM_POL,Hydroelectric Consumption - Poland
BP/HYDRO_CONSUM_PRT,Hydroelectric Consumption - Portugal
BP/HYDRO_CONSUM_ROU,Hydroelectric Consumption - Romania
BP/HYDRO_CONSUM_RUS,Hydroelectric Consumption - Russian Federation
BP/HYDRO_CONSUM_SVK,Hydroelectric Consumption - Slovakia
BP/HYDRO_CONSUM_CHE,Hydroelectric Consumption - Switzerland
BP/HYDRO_CONSUM_SWE,Hydroelectric Consumption - Sweden
BP/HYDRO_CONSUM_ESP,Hydroelectric Consumption - Spain
BP/HYDRO_CONSUM_TUR,Hydroelectric Consumption - Turkey
BP/HYDRO_CONSUM_TKM,Hydroelectric Consumption - Turkmenistan
BP/HYDRO_CONSUM_UKR,Hydroelectric Consumption - Ukraine
