WPSD/ARG_DP_DOD_DLTC_CR_M1_CG_CD,"047.With payment due in more than one year (PSDCG, LT, >1yr) US$ - Argentina"
WPSD/ARG_DP_DOD_DLDS_CR_M1_CG_CD,"050.Debt securities (PSDCG, LT, >1yr) US$ - Argentina"
WPSD/ARG_DP_DOD_DLLO_CR_M1_CG_CD,"051.Loans (PSDCG, LT, >1yr) US$ - Argentina"
WPSD/ARG_DP_DOD_DLLO_CR_CG_CD,057.Loans (PSDCG) US$ - Argentina
WPSD/ARG_DP_DOD_DLDS_CR_CG_CD,056.Debt securities (PSDCG) US$ - Argentina
WPSD/ARG_DP_DOD_DECD_CR_CG_CD,"060.Central Govt. Public Sector Debt, Domestic creditors US$ - Argentina"
WPSD/ARG_DP_DOD_DECX_CR_CG_CD,"061.Central Govt. Public Sector Debt, External creditors US$ - Argentina"
WPSD/ARG_DP_DOD_DECN_CR_CG_CD,"062.Central Govt. Public Sector Debt, Domestic currency US$ - Argentina"
WPSD/ARM_DP_DOD_DECT_CR_CG_CD,033.Gross Central Government Debt (PSDCG) US$ - Armenia
WPSD/ARG_DP_DOD_DECF_CR_CG_CD,"063.Central Govt. Public Sector Debt, Foreign currency US$ - Argentina"
WPSD/ARM_DP_DOD_DSTC_CR_CG_CD,"034.Short-term by original maturity (PSDCG, ST) US$ - Armenia"
WPSD/ARM_DP_DOD_DSDS_CR_CG_CD,"036.Debt securities (PSDCG, ST) US$ - Armenia"
WPSD/ARM_DP_DOD_DLTC_CR_CG_CD,"040.Long-term, by original maturity (PSDCG, LT) US$ - Armenia"
WPSD/ARM_DP_DOD_DLLO_CR_L1_CG_CD,"044.Loans (PSDCG, LT, <1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLTC_CR_L1_CG_CD,"041.With payment due in one year or less (PSDCG, LT, <1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLDS_CR_L1_CG_CD,"043.Debt securities (PSDCG, LT, <1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLTC_CR_M1_CG_CD,"047.With payment due in more than one year (PSDCG, LT, >1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLDS_CR_M1_CG_CD,"050.Debt securities (PSDCG, LT, >1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLLO_CR_M1_CG_CD,"051.Loans (PSDCG, LT, >1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLIN_CR_M1_CG_CD,"052.Insurance, pensions, and standardized guarantee schemes (PSDCG, LT, >1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLDS_CR_CG_CD,056.Debt securities (PSDCG) US$ - Armenia
WPSD/ARM_DP_DOD_DLLO_CR_CG_CD,057.Loans (PSDCG) US$ - Armenia
WPSD/ARM_DP_DOD_DLIN_CR_CG_CD,"058.Insurance, pensions, and standardized guarantee schemes (PSDCG) US$ - Armenia"
WPSD/ARM_DP_DOD_DSTC_CR_NF_CD,"098.Short-term by original maturity (PSDNFPC, ST) US$ - Armenia"
WPSD/ARM_DP_DOD_DECT_CR_NF_CD,097.Gross Nonfinancial Public Corporations Debt (PSDNFPC) US$ - Armenia
WPSD/ARM_DP_DOD_DSDS_CR_NF_CD,"100.Debt securities (PSDNFPC, ST) US$ - Armenia"
WPSD/ARM_DP_DOD_DSLO_CR_NF_CD,"101.Loans (PSDNFPC, ST) US$ - Armenia"
WPSD/ARM_DP_DOD_DSIN_CR_NF_CD,"102.Insurance, pensions, and standardized guarantee schemes (PSDNFPC, ST) US$ - Armenia"
WPSD/ARM_DP_DOD_DLTC_CR_NF_CD,"104.Long-term, by original maturity (PSDNFPC, LT) US$ - Armenia"
WPSD/ARM_DP_DOD_DLTC_CR_L1_NF_CD,"105.With payment due in one year or less (PSDNFPC, LT, <1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DSOA_CR_NF_CD,"103.Other accounts payable (PSDNFPC, ST) US$ - Armenia"
WPSD/ARM_DP_DOD_DSCD_CR_NF_CD,"099.Currency and deposits (PSDNFPC, ST) US$ - Armenia"
WPSD/ARM_DP_DOD_DLLO_CR_L1_NF_CD,"108.Loans (PSDNFPC, LT, <1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLTC_CR_M1_NF_CD,"111.With payment due in more than one year (PSDNFPC, LT, >1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLSD_CR_M1_NF_CD,"112.Special Drawing Rights (SDRs) (PSDNFPC, LT, >1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLCD_CR_M1_NF_CD,"113.Currency and deposits (PSDNFPC, LT, >1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLLO_CR_M1_NF_CD,"115.Loans (PSDNFPC, LT, >1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLDS_CR_M1_NF_CD,"114.Debt securities (PSDNFPC, LT, >1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLIN_CR_M1_NF_CD,"116.Insurance, pensions, and standardized guarantee schemes (PSDNFPC, LT, >1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLOA_CR_M1_NF_CD,"117.Other accounts payable (PSDNFPC, LT, >1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLSD_CR_NF_CD,118.Special Drawing Rights (SDRs) (PSDNFPC) US$ - Armenia
WPSD/ARM_DP_DOD_DLCD_CR_NF_CD,119.Currency and deposits (PSDNFPC) US$ - Armenia
WPSD/ARM_DP_DOD_DLLO_CR_NF_CD,121.Loans (PSDNFPC) US$ - Armenia
WPSD/ARM_DP_DOD_DLOA_CR_NF_CD,123.Other accounts payable (PSDNFPC) US$ - Armenia
WPSD/ARM_DP_DOD_DECD_CR_NF_CD,"124.Gross Nonfinancial Public Corporations Debt, Domestic creditors  US$ - Armenia"
WPSD/ARM_DP_DOD_DECX_CR_NF_CD,"125.Gross Nonfinancial Public Corporations Debt, External creditors  US$ - Armenia"
WPSD/ARM_DP_DOD_DECN_CR_NF_CD,"126.Gross Nonfinancial Public Corporations Debt, Domestic currency  US$ - Armenia"
WPSD/ARM_DP_DOD_DECF_CR_NF_CD,"127.Gross Nonfinancial Public Corporations Debt, Foreign currency  US$ - Armenia"
WPSD/ARM_DP_DOD_DECT_CR_FC_CD,129.Gross Financial Public Corporations Debt (PSDFPC) US$ - Armenia
WPSD/ARM_DP_DOD_DSTC_CR_FC_CD,"130.Short-term by original maturity (PSDFPC, ST) US$ - Armenia"
WPSD/ARM_DP_DOD_DSDS_CR_FC_CD,"132.Debt securities (PSDFPC, ST) US$ - Armenia"
WPSD/ARM_DP_DOD_DSCD_CR_FC_CD,"131.Currency and deposits (PSDFPC, ST) US$ - Armenia"
WPSD/ARM_DP_DOD_DSLO_CR_FC_CD,"133.Loans (PSDFPC, ST) US$ - Armenia"
WPSD/ARM_DP_DOD_DSOA_CR_FC_CD,"135.Other accounts payable (PSDFPC, ST) US$ - Armenia"
WPSD/ARM_DP_DOD_DSIN_CR_FC_CD,"134.Insurance, pensions, and standardized guarantee schemes (PSDFPC, ST) US$ - Armenia"
WPSD/ARM_DP_DOD_DLTC_CR_FC_CD,"136.Long-term, by original maturity (PSDFPC, LT) US$ - Armenia"
WPSD/ARM_DP_DOD_DLTC_CR_L1_FC_CD,"137.With payment due in one year or less (PSDFPC, LT, <1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLLO_CR_L1_FC_CD,"140.Loans (PSDFPC, LT, <1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLTC_CR_M1_FC_CD,"143.With payment due in more than one year (PSDFPC, LT, >1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLSD_CR_M1_FC_CD,"144.Special Drawing Rights (SDRs) (PSDFPC, LT, >1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLCD_CR_M1_FC_CD,"145.Currency and deposits (PSDFPC, LT, >1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLDS_CR_M1_FC_CD,"146.Debt securities (PSDFPC, LT, >1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLIN_CR_M1_FC_CD,"148.Insurance, pensions, and standardized guarantee schemes (PSDFPC, LT, >1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLLO_CR_M1_FC_CD,"147.Loans (PSDFPC, LT, >1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLOA_CR_M1_FC_CD,"149.Other accounts payable (PSDFPC, LT, >1yr) US$ - Armenia"
WPSD/ARM_DP_DOD_DLCD_CR_FC_CD,151.Currency and deposits (PSDFPC) US$ - Armenia
WPSD/ARM_DP_DOD_DLSD_CR_FC_CD,150.Special Drawing Rights (SDRs) (PSDFPC) US$ - Armenia
WPSD/ARM_DP_DOD_DLDS_CR_FC_CD,152.Debt securities (PSDFPC) US$ - Armenia
WPSD/ARM_DP_DOD_DLOA_CR_FC_CD,155.Other accounts payable (PSDFPC) US$ - Armenia
WPSD/ARM_DP_DOD_DLLO_CR_FC_CD,153.Loans (PSDFPC) US$ - Armenia
WPSD/ARM_DP_DOD_DECD_CR_FC_CD,"156.Gross Financial Public Corporations Debt, Domestic creditors  US$ - Armenia"
WPSD/ARM_DP_DOD_DECX_CR_FC_CD,"157.Gross Financial Public Corporations Debt, External creditors  US$ - Armenia"
WPSD/ARM_DP_DOD_DECN_CR_FC_CD,"158.Gross Financial Public Corporations Debt, Domestic currency  US$ - Armenia"
WPSD/ARM_DP_DOD_DECF_CR_FC_CD,"159.Gross Financial Public Corporations Debt, Foreign currency  US$ - Armenia"
WPSD/AUS_DP_DOD_DECT_CR_GG_CD,001.General Govt. Public Sector Debt (PSDGG) US$ - Australia
WPSD/AUS_DP_DOD_DSCD_CR_GG_CD,"003.Currency and deposits (PSDGG, ST) US$ - Australia"
WPSD/AUS_DP_DOD_DSDS_CR_GG_CD,"004.Debt securities (PSDGG, ST) US$ - Australia"
WPSD/AUS_DP_DOD_DSLO_CR_GG_CD,"005.Loans (PSDGG, ST) US$ - Australia"
WPSD/AUS_DP_DOD_DSTC_CR_GG_CD,"002.Short-term by original maturity (PSDGG, ST) US$ - Australia"
WPSD/AUS_DP_DOD_DLDS_CR_L1_GG_CD,"011.Debt securities (PSDGG, LT, <1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLTC_CR_GG_CD,"008.Long-term, by original maturity (PSDGG, LT) US$ - Australia"
WPSD/AUS_DP_DOD_DLTC_CR_L1_GG_CD,"009.With payment due in one year or less (PSDGG, LT, <1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLTC_CR_M1_GG_CD,"015.With payment due in more than one year (PSDGG, LT, >1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLSD_CR_M1_GG_CD,"016.Special Drawing Rights (SDRs) (PSDGG, LT, >1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLDS_CR_M1_GG_CD,"018.Debt securities (PSDGG, LT, >1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLLO_CR_M1_GG_CD,"019.Loans (PSDGG, LT, >1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLSD_CR_GG_CD,022.Special Drawing Rights (SDRs) (PSDGG) US$ - Australia
WPSD/AUS_DP_DOD_DSOA_CR_GG_CD,"007.Other accounts payable (PSDGG, ST) US$ - Australia"
WPSD/AUS_DP_DOD_DLIN_CR_M1_GG_CD,"020.Insurance, pensions, and standardized guarantee schemes (PSDGG, LT, >1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLCD_CR_GG_CD,023.Currency and deposits (PSDGG) US$ - Australia
WPSD/AUS_DP_DOD_DLDS_CR_GG_CD,024.Debt securities (PSDGG) US$ - Australia
WPSD/AUS_DP_DOD_DLLO_CR_GG_CD,025.Loans (PSDGG) US$ - Australia
WPSD/AUS_DP_DOD_DLIN_CR_GG_CD,"026.Insurance, pensions, and standardized guarantee schemes (PSDGG) US$ - Australia"
WPSD/AUS_DP_DOD_DLOA_CR_GG_CD,027.Other accounts payable (PSDGG) US$ - Australia
WPSD/AUS_DP_DOD_DECD_CR_GG_CD,"028.General Govt. Public Sector Debt, Domestic creditors US$ - Australia"
WPSD/AUS_DP_DOD_DECX_CR_GG_CD,"029.General Govt. Public Sector Debt, External creditors US$ - Australia"
WPSD/AUS_DP_DOD_DECN_CR_GG_CD,"030.General Govt. Public Sector Debt, Domestic currency US$ - Australia"
WPSD/AUS_DP_DOD_DLDS_CR_MV_GG_CD,032.General Govt. Public Sector Debt Securities at market value US$ - Australia
WPSD/AUS_DP_DOD_DECT_CR_CG_CD,033.Gross Central Government Debt (PSDCG) US$ - Australia
WPSD/AUS_DP_DOD_DSTC_CR_CG_CD,"034.Short-term by original maturity (PSDCG, ST) US$ - Australia"
WPSD/AUS_DP_DOD_DSCD_CR_CG_CD,"035.Currency and deposits (PSDCG, ST) US$ - Australia"
WPSD/AUS_DP_DOD_DSDS_CR_CG_CD,"036.Debt securities (PSDCG, ST) US$ - Australia"
WPSD/AUS_DP_DOD_DSOA_CR_CG_CD,"039.Other accounts payable (PSDCG, ST) US$ - Australia"
WPSD/AUS_DP_DOD_DLTC_CR_CG_CD,"040.Long-term, by original maturity (PSDCG, LT) US$ - Australia"
WPSD/AUS_DP_DOD_DLTC_CR_L1_CG_CD,"041.With payment due in one year or less (PSDCG, LT, <1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLDS_CR_L1_CG_CD,"043.Debt securities (PSDCG, LT, <1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLTC_CR_M1_CG_CD,"047.With payment due in more than one year (PSDCG, LT, >1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLSD_CR_M1_CG_CD,"048.Special Drawing Rights (SDRs) (PSDCG, LT, >1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLDS_CR_M1_CG_CD,"050.Debt securities (PSDCG, LT, >1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLLO_CR_M1_CG_CD,"051.Loans (PSDCG, LT, >1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLIN_CR_M1_CG_CD,"052.Insurance, pensions, and standardized guarantee schemes (PSDCG, LT, >1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLSD_CR_CG_CD,054.Special Drawing Rights (SDRs) (PSDCG) US$ - Australia
WPSD/AUS_DP_DOD_DLCD_CR_CG_CD,055.Currency and deposits (PSDCG) US$ - Australia
WPSD/AUS_DP_DOD_DLDS_CR_CG_CD,056.Debt securities (PSDCG) US$ - Australia
WPSD/AUS_DP_DOD_DLLO_CR_CG_CD,057.Loans (PSDCG) US$ - Australia
WPSD/AUS_DP_DOD_DLIN_CR_CG_CD,"058.Insurance, pensions, and standardized guarantee schemes (PSDCG) US$ - Australia"
WPSD/AUS_DP_DOD_DLOA_CR_CG_CD,059.Other accounts payable (PSDCG) US$ - Australia
WPSD/AUS_DP_DOD_DECD_CR_CG_CD,"060.Central Govt. Public Sector Debt, Domestic creditors US$ - Australia"
WPSD/AUS_DP_DOD_DECX_CR_CG_CD,"061.Central Govt. Public Sector Debt, External creditors US$ - Australia"
WPSD/AUS_DP_DOD_DECN_CR_CG_CD,"062.Central Govt. Public Sector Debt, Domestic currency US$ - Australia"
WPSD/AUS_DP_DOD_DLDS_CR_MV_CG_CD,064.Central Govt. Public Sector Debt Securities at market value US$ - Australia
WPSD/AUS_DP_DOD_DECT_CR_NF_CD,097.Gross Nonfinancial Public Corporations Debt (PSDNFPC) US$ - Australia
WPSD/AUS_DP_DOD_DSTC_CR_NF_CD,"098.Short-term by original maturity (PSDNFPC, ST) US$ - Australia"
WPSD/AUS_DP_DOD_DSDS_CR_NF_CD,"100.Debt securities (PSDNFPC, ST) US$ - Australia"
WPSD/AUS_DP_DOD_DSLO_CR_NF_CD,"101.Loans (PSDNFPC, ST) US$ - Australia"
WPSD/AUS_DP_DOD_DSOA_CR_NF_CD,"103.Other accounts payable (PSDNFPC, ST) US$ - Australia"
WPSD/AUS_DP_DOD_DLTC_CR_NF_CD,"104.Long-term, by original maturity (PSDNFPC, LT) US$ - Australia"
WPSD/AUS_DP_DOD_DLTC_CR_M1_NF_CD,"111.With payment due in more than one year (PSDNFPC, LT, >1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLLO_CR_M1_NF_CD,"115.Loans (PSDNFPC, LT, >1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLDS_CR_NF_CD,120.Debt securities (PSDNFPC) US$ - Australia
WPSD/AUS_DP_DOD_DLDS_CR_M1_NF_CD,"114.Debt securities (PSDNFPC, LT, >1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLLO_CR_NF_CD,121.Loans (PSDNFPC) US$ - Australia
WPSD/AUS_DP_DOD_DLOA_CR_NF_CD,123.Other accounts payable (PSDNFPC) US$ - Australia
WPSD/AUS_DP_DOD_DECD_CR_NF_CD,"124.Gross Nonfinancial Public Corporations Debt, Domestic creditors  US$ - Australia"
WPSD/AUS_DP_DOD_DECX_CR_NF_CD,"125.Gross Nonfinancial Public Corporations Debt, External creditors  US$ - Australia"
WPSD/AUS_DP_DOD_DECN_CR_NF_CD,"126.Gross Nonfinancial Public Corporations Debt, Domestic currency  US$ - Australia"
WPSD/AUS_DP_DOD_DECT_CR_FC_CD,129.Gross Financial Public Corporations Debt (PSDFPC) US$ - Australia
WPSD/AUS_DP_DOD_DSTC_CR_FC_CD,"130.Short-term by original maturity (PSDFPC, ST) US$ - Australia"
WPSD/AUS_DP_DOD_DLDS_CR_MV_NF_CD,128.Gross Nonfinancial Public Corporations Debt Securities at market value US$ - Australia
WPSD/AUS_DP_DOD_DSCD_CR_FC_CD,"131.Currency and deposits (PSDFPC, ST) US$ - Australia"
WPSD/AUS_DP_DOD_DSDS_CR_FC_CD,"132.Debt securities (PSDFPC, ST) US$ - Australia"
WPSD/AUS_DP_DOD_DSLO_CR_FC_CD,"133.Loans (PSDFPC, ST) US$ - Australia"
WPSD/AUS_DP_DOD_DSOA_CR_FC_CD,"135.Other accounts payable (PSDFPC, ST) US$ - Australia"
WPSD/AUS_DP_DOD_DLTC_CR_FC_CD,"136.Long-term, by original maturity (PSDFPC, LT) US$ - Australia"
WPSD/AUS_DP_DOD_DLTC_CR_L1_FC_CD,"137.With payment due in one year or less (PSDFPC, LT, <1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLDS_CR_L1_FC_CD,"139.Debt securities (PSDFPC, LT, <1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLDS_CR_M1_FC_CD,"146.Debt securities (PSDFPC, LT, >1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLCD_CR_M1_FC_CD,"145.Currency and deposits (PSDFPC, LT, >1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLTC_CR_M1_FC_CD,"143.With payment due in more than one year (PSDFPC, LT, >1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLLO_CR_M1_FC_CD,"147.Loans (PSDFPC, LT, >1yr) US$ - Australia"
WPSD/AUS_DP_DOD_DLCD_CR_FC_CD,151.Currency and deposits (PSDFPC) US$ - Australia
